name,url,types,abilities,hp,attack,defense,special-attack,special-defense,speed,is_legendary,generation,hidden_ability,primary_type,weight,height
gulpin,https://pokeapi.co/api/v2/pokemon/316/,poison,"liquid-ooze, sticky-hold, gluttony",70,43,53,43,53,40,False,generation-iii,gluttony,poison,103,4
swalot,https://pokeapi.co/api/v2/pokemon/317/,poison,"liquid-ooze, sticky-hold, gluttony",100,73,83,73,83,55,False,generation-iii,gluttony,poison,800,17
carvanha,https://pokeapi.co/api/v2/pokemon/318/,"water, dark","rough-skin, speed-boost",45,90,20,65,20,65,False,generation-iii,speed-boost,water,208,8
sharpedo,https://pokeapi.co/api/v2/pokemon/319/,"water, dark","rough-skin, speed-boost",70,120,40,95,40,95,False,generation-iii,speed-boost,water,888,18
wailmer,https://pokeapi.co/api/v2/pokemon/320/,water,"water-veil, oblivious, pressure",130,70,35,70,35,60,False,generation-iii,pressure,water,1300,20
wailord,https://pokeapi.co/api/v2/pokemon/321/,water,"water-veil, oblivious, pressure",170,90,45,90,45,60,False,generation-iii,pressure,water,3980,145
numel,https://pokeapi.co/api/v2/pokemon/322/,"fire, ground","oblivious, simple, own-tempo",60,60,40,65,45,35,False,generation-iii,own-tempo,fire,240,7
camerupt,https://pokeapi.co/api/v2/pokemon/323/,"fire, ground","magma-armor, solid-rock, anger-point",70,100,70,105,75,40,False,generation-iii,anger-point,fire,2200,19
torkoal,https://pokeapi.co/api/v2/pokemon/324/,fire,"white-smoke, drought, shell-armor",70,85,140,85,70,20,False,generation-iii,shell-armor,fire,804,5
spoink,https://pokeapi.co/api/v2/pokemon/325/,psychic,"thick-fat, own-tempo, gluttony",60,25,35,70,80,60,False,generation-iii,gluttony,psychic,306,7
grumpig,https://pokeapi.co/api/v2/pokemon/326/,psychic,"thick-fat, own-tempo, gluttony",80,45,65,90,110,80,False,generation-iii,gluttony,psychic,715,9
spinda,https://pokeapi.co/api/v2/pokemon/327/,normal,"own-tempo, tangled-feet, contrary",60,60,60,60,60,60,False,generation-iii,contrary,normal,50,11
trapinch,https://pokeapi.co/api/v2/pokemon/328/,ground,"hyper-cutter, arena-trap, sheer-force",45,100,45,45,45,10,False,generation-iii,sheer-force,ground,150,7
vibrava,https://pokeapi.co/api/v2/pokemon/329/,"ground, dragon",levitate,50,70,50,50,50,70,False,generation-iii,,ground,153,11
flygon,https://pokeapi.co/api/v2/pokemon/330/,"ground, dragon",levitate,80,100,80,80,80,100,False,generation-iii,,ground,820,20
cacnea,https://pokeapi.co/api/v2/pokemon/331/,grass,"sand-veil, water-absorb",50,85,40,85,40,35,False,generation-iii,water-absorb,grass,513,4
cacturne,https://pokeapi.co/api/v2/pokemon/332/,"grass, dark","sand-veil, water-absorb",70,115,60,115,60,55,False,generation-iii,water-absorb,grass,774,13
swablu,https://pokeapi.co/api/v2/pokemon/333/,"normal, flying","natural-cure, cloud-nine",45,40,60,40,75,50,False,generation-iii,cloud-nine,normal,12,4
altaria,https://pokeapi.co/api/v2/pokemon/334/,"dragon, flying","natural-cure, cloud-nine",75,70,90,70,105,80,False,generation-iii,cloud-nine,dragon,206,11
zangoose,https://pokeapi.co/api/v2/pokemon/335/,normal,"immunity, toxic-boost",73,115,60,60,60,90,False,generation-iii,toxic-boost,normal,403,13
seviper,https://pokeapi.co/api/v2/pokemon/336/,poison,"shed-skin, infiltrator",73,100,60,100,60,65,False,generation-iii,infiltrator,poison,525,27
lunatone,https://pokeapi.co/api/v2/pokemon/337/,"rock, psychic",levitate,90,55,65,95,85,70,False,generation-iii,,rock,1680,10
solrock,https://pokeapi.co/api/v2/pokemon/338/,"rock, psychic",levitate,90,95,85,55,65,70,False,generation-iii,,rock,1540,12
barboach,https://pokeapi.co/api/v2/pokemon/339/,"water, ground","oblivious, anticipation, hydration",50,48,43,46,41,60,False,generation-iii,hydration,water,19,4
whiscash,https://pokeapi.co/api/v2/pokemon/340/,"water, ground","oblivious, anticipation, hydration",110,78,73,76,71,60,False,generation-iii,hydration,water,236,9
corphish,https://pokeapi.co/api/v2/pokemon/341/,water,"hyper-cutter, shell-armor, adaptability",43,80,65,50,35,35,False,generation-iii,adaptability,water,115,6
crawdaunt,https://pokeapi.co/api/v2/pokemon/342/,"water, dark","hyper-cutter, shell-armor, adaptability",63,120,85,90,55,55,False,generation-iii,adaptability,water,328,11
baltoy,https://pokeapi.co/api/v2/pokemon/343/,"ground, psychic",levitate,40,40,55,40,70,55,False,generation-iii,,ground,215,5
claydol,https://pokeapi.co/api/v2/pokemon/344/,"ground, psychic",levitate,60,70,105,70,120,75,False,generation-iii,,ground,1080,15
lileep,https://pokeapi.co/api/v2/pokemon/345/,"rock, grass","suction-cups, storm-drain",66,41,77,61,87,23,False,generation-iii,storm-drain,rock,238,10
cradily,https://pokeapi.co/api/v2/pokemon/346/,"rock, grass","suction-cups, storm-drain",86,81,97,81,107,43,False,generation-iii,storm-drain,rock,604,15
anorith,https://pokeapi.co/api/v2/pokemon/347/,"rock, bug","battle-armor, swift-swim",45,95,50,40,50,75,False,generation-iii,swift-swim,rock,125,7
armaldo,https://pokeapi.co/api/v2/pokemon/348/,"rock, bug","battle-armor, swift-swim",75,125,100,70,80,45,False,generation-iii,swift-swim,rock,682,15
feebas,https://pokeapi.co/api/v2/pokemon/349/,water,"swift-swim, oblivious, adaptability",20,15,20,10,55,80,False,generation-iii,adaptability,water,74,6
milotic,https://pokeapi.co/api/v2/pokemon/350/,water,"marvel-scale, competitive, cute-charm",95,60,79,100,125,81,False,generation-iii,cute-charm,water,1620,62
castform,https://pokeapi.co/api/v2/pokemon/351/,normal,forecast,70,70,70,70,70,70,False,generation-iii,,normal,8,3
kecleon,https://pokeapi.co/api/v2/pokemon/352/,normal,"color-change, protean",60,90,70,60,120,40,False,generation-iii,protean,normal,220,10
shuppet,https://pokeapi.co/api/v2/pokemon/353/,ghost,"insomnia, frisk, cursed-body",44,75,35,63,33,45,False,generation-iii,cursed-body,ghost,23,6
banette,https://pokeapi.co/api/v2/pokemon/354/,ghost,"insomnia, frisk, cursed-body",64,115,65,83,63,65,False,generation-iii,cursed-body,ghost,125,11
duskull,https://pokeapi.co/api/v2/pokemon/355/,ghost,"levitate, frisk",20,40,90,30,90,25,False,generation-iii,frisk,ghost,150,8
dusclops,https://pokeapi.co/api/v2/pokemon/356/,ghost,"pressure, frisk",40,70,130,60,130,25,False,generation-iii,frisk,ghost,306,16
tropius,https://pokeapi.co/api/v2/pokemon/357/,"grass, flying","chlorophyll, solar-power, harvest",99,68,83,72,87,51,False,generation-iii,harvest,grass,1000,20
chimecho,https://pokeapi.co/api/v2/pokemon/358/,psychic,levitate,75,50,80,95,90,65,False,generation-iii,,psychic,10,6
absol,https://pokeapi.co/api/v2/pokemon/359/,dark,"pressure, super-luck, justified",65,130,60,75,60,75,False,generation-iii,justified,dark,470,12
wynaut,https://pokeapi.co/api/v2/pokemon/360/,psychic,"shadow-tag, telepathy",95,23,48,23,48,23,False,generation-iii,telepathy,psychic,140,6
snorunt,https://pokeapi.co/api/v2/pokemon/361/,ice,"inner-focus, ice-body, moody",50,50,50,50,50,50,False,generation-iii,moody,ice,168,7
glalie,https://pokeapi.co/api/v2/pokemon/362/,ice,"inner-focus, ice-body, moody",80,80,80,80,80,80,False,generation-iii,moody,ice,2565,15
spheal,https://pokeapi.co/api/v2/pokemon/363/,"ice, water","thick-fat, ice-body, oblivious",70,40,50,55,50,25,False,generation-iii,oblivious,ice,395,8
sealeo,https://pokeapi.co/api/v2/pokemon/364/,"ice, water","thick-fat, ice-body, oblivious",90,60,70,75,70,45,False,generation-iii,oblivious,ice,876,11
walrein,https://pokeapi.co/api/v2/pokemon/365/,"ice, water","thick-fat, ice-body, oblivious",110,80,90,95,90,65,False,generation-iii,oblivious,ice,1506,14
clamperl,https://pokeapi.co/api/v2/pokemon/366/,water,"shell-armor, rattled",35,64,85,74,55,32,False,generation-iii,rattled,water,525,4
huntail,https://pokeapi.co/api/v2/pokemon/367/,water,"swift-swim, water-veil",55,104,105,94,75,52,False,generation-iii,water-veil,water,270,17
gorebyss,https://pokeapi.co/api/v2/pokemon/368/,water,"swift-swim, hydration",55,84,105,114,75,52,False,generation-iii,hydration,water,226,18
relicanth,https://pokeapi.co/api/v2/pokemon/369/,"water, rock","swift-swim, rock-head, sturdy",100,90,130,45,65,55,False,generation-iii,sturdy,water,234,10
luvdisc,https://pokeapi.co/api/v2/pokemon/370/,water,"swift-swim, hydration",43,30,55,40,65,97,False,generation-iii,hydration,water,87,6
bagon,https://pokeapi.co/api/v2/pokemon/371/,dragon,"rock-head, sheer-force",45,75,60,40,30,50,False,generation-iii,sheer-force,dragon,421,6
shelgon,https://pokeapi.co/api/v2/pokemon/372/,dragon,"rock-head, overcoat",65,95,100,60,50,50,False,generation-iii,overcoat,dragon,1105,11
salamence,https://pokeapi.co/api/v2/pokemon/373/,"dragon, flying","intimidate, moxie",95,135,80,110,80,100,False,generation-iii,moxie,dragon,1026,15
beldum,https://pokeapi.co/api/v2/pokemon/374/,"steel, psychic","clear-body, light-metal",40,55,80,35,60,30,False,generation-iii,light-metal,steel,952,6
metang,https://pokeapi.co/api/v2/pokemon/375/,"steel, psychic","clear-body, light-metal",60,75,100,55,80,50,False,generation-iii,light-metal,steel,2025,12
metagross,https://pokeapi.co/api/v2/pokemon/376/,"steel, psychic","clear-body, light-metal",80,135,130,95,90,70,False,generation-iii,light-metal,steel,5500,16
regirock,https://pokeapi.co/api/v2/pokemon/377/,rock,"clear-body, sturdy",80,100,200,50,100,50,True,generation-iii,sturdy,rock,2300,17
regice,https://pokeapi.co/api/v2/pokemon/378/,ice,"clear-body, ice-body",80,50,100,100,200,50,True,generation-iii,ice-body,ice,1750,18
registeel,https://pokeapi.co/api/v2/pokemon/379/,steel,"clear-body, light-metal",80,75,150,75,150,50,True,generation-iii,light-metal,steel,2050,19
latias,https://pokeapi.co/api/v2/pokemon/380/,"dragon, psychic",levitate,80,80,90,110,130,110,True,generation-iii,,dragon,400,14
latios,https://pokeapi.co/api/v2/pokemon/381/,"dragon, psychic",levitate,80,90,80,130,110,110,True,generation-iii,,dragon,600,20
kyogre,https://pokeapi.co/api/v2/pokemon/382/,water,drizzle,100,100,90,150,140,90,True,generation-iii,,water,3520,45
groudon,https://pokeapi.co/api/v2/pokemon/383/,ground,drought,100,150,140,100,90,90,True,generation-iii,,ground,9500,35
rayquaza,https://pokeapi.co/api/v2/pokemon/384/,"dragon, flying",air-lock,105,150,90,150,90,95,True,generation-iii,,dragon,2065,70
jirachi,https://pokeapi.co/api/v2/pokemon/385/,"steel, psychic",serene-grace,100,100,100,100,100,100,False,generation-iii,,steel,11,3
deoxys-normal,https://pokeapi.co/api/v2/pokemon/386/,psychic,pressure,50,150,50,150,50,150,False,generation-iii,,psychic,608,17
turtwig,https://pokeapi.co/api/v2/pokemon/387/,grass,"overgrow, shell-armor",55,68,64,45,55,31,False,generation-iv,shell-armor,grass,102,4
grotle,https://pokeapi.co/api/v2/pokemon/388/,grass,"overgrow, shell-armor",75,89,85,55,65,36,False,generation-iv,shell-armor,grass,970,11
torterra,https://pokeapi.co/api/v2/pokemon/389/,"grass, ground","overgrow, shell-armor",95,109,105,75,85,56,False,generation-iv,shell-armor,grass,3100,22
chimchar,https://pokeapi.co/api/v2/pokemon/390/,fire,"blaze, iron-fist",44,58,44,58,44,61,False,generation-iv,iron-fist,fire,62,5
monferno,https://pokeapi.co/api/v2/pokemon/391/,"fire, fighting","blaze, iron-fist",64,78,52,78,52,81,False,generation-iv,iron-fist,fire,220,9
infernape,https://pokeapi.co/api/v2/pokemon/392/,"fire, fighting","blaze, iron-fist",76,104,71,104,71,108,False,generation-iv,iron-fist,fire,550,12
piplup,https://pokeapi.co/api/v2/pokemon/393/,water,"torrent, competitive",53,51,53,61,56,40,False,generation-iv,competitive,water,52,4
prinplup,https://pokeapi.co/api/v2/pokemon/394/,water,"torrent, competitive",64,66,68,81,76,50,False,generation-iv,competitive,water,230,8
empoleon,https://pokeapi.co/api/v2/pokemon/395/,"water, steel","torrent, competitive",84,86,88,111,101,60,False,generation-iv,competitive,water,845,17
starly,https://pokeapi.co/api/v2/pokemon/396/,"normal, flying","keen-eye, reckless",40,55,30,30,30,60,False,generation-iv,reckless,normal,20,3
staravia,https://pokeapi.co/api/v2/pokemon/397/,"normal, flying","intimidate, reckless",55,75,50,40,40,80,False,generation-iv,reckless,normal,155,6
staraptor,https://pokeapi.co/api/v2/pokemon/398/,"normal, flying","intimidate, reckless",85,120,70,50,60,100,False,generation-iv,reckless,normal,249,12
bidoof,https://pokeapi.co/api/v2/pokemon/399/,normal,"simple, unaware, moody",59,45,40,35,40,31,False,generation-iv,moody,normal,200,5
bibarel,https://pokeapi.co/api/v2/pokemon/400/,"normal, water","simple, unaware, moody",79,85,60,55,60,71,False,generation-iv,moody,normal,315,10
kricketot,https://pokeapi.co/api/v2/pokemon/401/,bug,"shed-skin, run-away",37,25,41,25,41,25,False,generation-iv,run-away,bug,22,3
kricketune,https://pokeapi.co/api/v2/pokemon/402/,bug,"swarm, technician",77,85,51,55,51,65,False,generation-iv,technician,bug,255,10
shinx,https://pokeapi.co/api/v2/pokemon/403/,electric,"rivalry, intimidate, guts",45,65,34,40,34,45,False,generation-iv,guts,electric,95,5
luxio,https://pokeapi.co/api/v2/pokemon/404/,electric,"rivalry, intimidate, guts",60,85,49,60,49,60,False,generation-iv,guts,electric,305,9
luxray,https://pokeapi.co/api/v2/pokemon/405/,electric,"rivalry, intimidate, guts",80,120,79,95,79,70,False,generation-iv,guts,electric,420,14
budew,https://pokeapi.co/api/v2/pokemon/406/,"grass, poison","natural-cure, poison-point, leaf-guard",40,30,35,50,70,55,False,generation-iv,leaf-guard,grass,12,2
roserade,https://pokeapi.co/api/v2/pokemon/407/,"grass, poison","natural-cure, poison-point, technician",60,70,65,125,105,90,False,generation-iv,technician,grass,145,9
cranidos,https://pokeapi.co/api/v2/pokemon/408/,rock,"mold-breaker, sheer-force",67,125,40,30,30,58,False,generation-iv,sheer-force,rock,315,9
rampardos,https://pokeapi.co/api/v2/pokemon/409/,rock,"mold-breaker, sheer-force",97,165,60,65,50,58,False,generation-iv,sheer-force,rock,1025,16
shieldon,https://pokeapi.co/api/v2/pokemon/410/,"rock, steel","sturdy, soundproof",30,42,118,42,88,30,False,generation-iv,soundproof,rock,570,5
bastiodon,https://pokeapi.co/api/v2/pokemon/411/,"rock, steel","sturdy, soundproof",60,52,168,47,138,30,False,generation-iv,soundproof,rock,1495,13
burmy,https://pokeapi.co/api/v2/pokemon/412/,bug,"shed-skin, overcoat",40,29,45,29,45,36,False,generation-iv,overcoat,bug,34,2
wormadam-plant,https://pokeapi.co/api/v2/pokemon/413/,"bug, grass","anticipation, overcoat",60,59,85,79,105,36,False,generation-iv,overcoat,bug,65,5
mothim,https://pokeapi.co/api/v2/pokemon/414/,"bug, flying","swarm, tinted-lens",70,94,50,94,50,66,False,generation-iv,tinted-lens,bug,233,9
combee,https://pokeapi.co/api/v2/pokemon/415/,"bug, flying","honey-gather, hustle",30,30,42,30,42,70,False,generation-iv,hustle,bug,55,3
vespiquen,https://pokeapi.co/api/v2/pokemon/416/,"bug, flying","pressure, unnerve",70,80,102,80,102,40,False,generation-iv,unnerve,bug,385,12
pachirisu,https://pokeapi.co/api/v2/pokemon/417/,electric,"run-away, pickup, volt-absorb",60,45,70,45,90,95,False,generation-iv,volt-absorb,electric,39,4
buizel,https://pokeapi.co/api/v2/pokemon/418/,water,"swift-swim, water-veil",55,65,35,60,30,85,False,generation-iv,water-veil,water,295,7
floatzel,https://pokeapi.co/api/v2/pokemon/419/,water,"swift-swim, water-veil",85,105,55,85,50,115,False,generation-iv,water-veil,water,335,11
cherubi,https://pokeapi.co/api/v2/pokemon/420/,grass,chlorophyll,45,35,45,62,53,35,False,generation-iv,,grass,33,4
cherrim,https://pokeapi.co/api/v2/pokemon/421/,grass,flower-gift,70,60,70,87,78,85,False,generation-iv,,grass,93,5
shellos,https://pokeapi.co/api/v2/pokemon/422/,water,"sticky-hold, storm-drain, sand-force",76,48,48,57,62,34,False,generation-iv,sand-force,water,63,3
gastrodon,https://pokeapi.co/api/v2/pokemon/423/,"water, ground","sticky-hold, storm-drain, sand-force",111,83,68,92,82,39,False,generation-iv,sand-force,water,299,9
ambipom,https://pokeapi.co/api/v2/pokemon/424/,normal,"technician, pickup, skill-link",75,100,66,60,66,115,False,generation-iv,skill-link,normal,203,12
drifloon,https://pokeapi.co/api/v2/pokemon/425/,"ghost, flying","aftermath, unburden, flare-boost",90,50,34,60,44,70,False,generation-iv,flare-boost,ghost,12,4
drifblim,https://pokeapi.co/api/v2/pokemon/426/,"ghost, flying","aftermath, unburden, flare-boost",150,80,44,90,54,80,False,generation-iv,flare-boost,ghost,150,12
buneary,https://pokeapi.co/api/v2/pokemon/427/,normal,"run-away, klutz, limber",55,66,44,44,56,85,False,generation-iv,limber,normal,55,4
lopunny,https://pokeapi.co/api/v2/pokemon/428/,normal,"cute-charm, klutz, limber",65,76,84,54,96,105,False,generation-iv,limber,normal,333,12
mismagius,https://pokeapi.co/api/v2/pokemon/429/,ghost,levitate,60,60,60,105,105,105,False,generation-iv,,ghost,44,9
honchkrow,https://pokeapi.co/api/v2/pokemon/430/,"dark, flying","insomnia, super-luck, moxie",100,125,52,105,52,71,False,generation-iv,moxie,dark,273,9
glameow,https://pokeapi.co/api/v2/pokemon/431/,normal,"limber, own-tempo, keen-eye",49,55,42,42,37,85,False,generation-iv,keen-eye,normal,39,5
purugly,https://pokeapi.co/api/v2/pokemon/432/,normal,"thick-fat, own-tempo, defiant",71,82,64,64,59,112,False,generation-iv,defiant,normal,438,10
chingling,https://pokeapi.co/api/v2/pokemon/433/,psychic,levitate,45,30,50,65,50,45,False,generation-iv,,psychic,6,2
stunky,https://pokeapi.co/api/v2/pokemon/434/,"poison, dark","stench, aftermath, keen-eye",63,63,47,41,41,74,False,generation-iv,keen-eye,poison,192,4
skuntank,https://pokeapi.co/api/v2/pokemon/435/,"poison, dark","stench, aftermath, keen-eye",103,93,67,71,61,84,False,generation-iv,keen-eye,poison,380,10
bronzor,https://pokeapi.co/api/v2/pokemon/436/,"steel, psychic","levitate, heatproof, heavy-metal",57,24,86,24,86,23,False,generation-iv,heavy-metal,steel,605,5
bronzong,https://pokeapi.co/api/v2/pokemon/437/,"steel, psychic","levitate, heatproof, heavy-metal",67,89,116,79,116,33,False,generation-iv,heavy-metal,steel,1870,13
bonsly,https://pokeapi.co/api/v2/pokemon/438/,rock,"sturdy, rock-head, rattled",50,80,95,10,45,10,False,generation-iv,rattled,rock,150,5
mime-jr,https://pokeapi.co/api/v2/pokemon/439/,"psychic, fairy","soundproof, filter, technician",20,25,45,70,90,60,False,generation-iv,technician,psychic,130,6
happiny,https://pokeapi.co/api/v2/pokemon/440/,normal,"natural-cure, serene-grace, friend-guard",100,5,5,15,65,30,False,generation-iv,friend-guard,normal,244,6
chatot,https://pokeapi.co/api/v2/pokemon/441/,"normal, flying","keen-eye, tangled-feet, big-pecks",76,65,45,92,42,91,False,generation-iv,big-pecks,normal,19,5
spiritomb,https://pokeapi.co/api/v2/pokemon/442/,"ghost, dark","pressure, infiltrator",50,92,108,92,108,35,False,generation-iv,infiltrator,ghost,1080,10
gible,https://pokeapi.co/api/v2/pokemon/443/,"dragon, ground","sand-veil, rough-skin",58,70,45,40,45,42,False,generation-iv,rough-skin,dragon,205,7
gabite,https://pokeapi.co/api/v2/pokemon/444/,"dragon, ground","sand-veil, rough-skin",68,90,65,50,55,82,False,generation-iv,rough-skin,dragon,560,14
garchomp,https://pokeapi.co/api/v2/pokemon/445/,"dragon, ground","sand-veil, rough-skin",108,130,95,80,85,102,False,generation-iv,rough-skin,dragon,950,19
munchlax,https://pokeapi.co/api/v2/pokemon/446/,normal,"pickup, thick-fat, gluttony",135,85,40,40,85,5,False,generation-iv,gluttony,normal,1050,6
riolu,https://pokeapi.co/api/v2/pokemon/447/,fighting,"steadfast, inner-focus, prankster",40,70,40,35,40,60,False,generation-iv,prankster,fighting,202,7
lucario,https://pokeapi.co/api/v2/pokemon/448/,"fighting, steel","steadfast, inner-focus, justified",70,110,70,115,70,90,False,generation-iv,justified,fighting,540,12
hippopotas,https://pokeapi.co/api/v2/pokemon/449/,ground,"sand-stream, sand-force",68,72,78,38,42,32,False,generation-iv,sand-force,ground,495,8
hippowdon,https://pokeapi.co/api/v2/pokemon/450/,ground,"sand-stream, sand-force",108,112,118,68,72,47,False,generation-iv,sand-force,ground,3000,20
skorupi,https://pokeapi.co/api/v2/pokemon/451/,"poison, bug","battle-armor, sniper, keen-eye",40,50,90,30,55,65,False,generation-iv,keen-eye,poison,120,8
drapion,https://pokeapi.co/api/v2/pokemon/452/,"poison, dark","battle-armor, sniper, keen-eye",70,90,110,60,75,95,False,generation-iv,keen-eye,poison,615,13
croagunk,https://pokeapi.co/api/v2/pokemon/453/,"poison, fighting","anticipation, dry-skin, poison-touch",48,61,40,61,40,50,False,generation-iv,poison-touch,poison,230,7
toxicroak,https://pokeapi.co/api/v2/pokemon/454/,"poison, fighting","anticipation, dry-skin, poison-touch",83,106,65,86,65,85,False,generation-iv,poison-touch,poison,444,13
carnivine,https://pokeapi.co/api/v2/pokemon/455/,grass,levitate,74,100,72,90,72,46,False,generation-iv,,grass,270,14
finneon,https://pokeapi.co/api/v2/pokemon/456/,water,"swift-swim, storm-drain, water-veil",49,49,56,49,61,66,False,generation-iv,water-veil,water,70,4
lumineon,https://pokeapi.co/api/v2/pokemon/457/,water,"swift-swim, storm-drain, water-veil",69,69,76,69,86,91,False,generation-iv,water-veil,water,240,12
mantyke,https://pokeapi.co/api/v2/pokemon/458/,"water, flying","swift-swim, water-absorb, water-veil",45,20,50,60,120,50,False,generation-iv,water-veil,water,650,10
snover,https://pokeapi.co/api/v2/pokemon/459/,"grass, ice","snow-warning, soundproof",60,62,50,62,60,40,False,generation-iv,soundproof,grass,505,10
abomasnow,https://pokeapi.co/api/v2/pokemon/460/,"grass, ice","snow-warning, soundproof",90,92,75,92,85,60,False,generation-iv,soundproof,grass,1355,22
weavile,https://pokeapi.co/api/v2/pokemon/461/,"dark, ice","pressure, pickpocket",70,120,65,45,85,125,False,generation-iv,pickpocket,dark,340,11
magnezone,https://pokeapi.co/api/v2/pokemon/462/,"electric, steel","magnet-pull, sturdy, analytic",70,70,115,130,90,60,False,generation-iv,analytic,electric,1800,12
lickilicky,https://pokeapi.co/api/v2/pokemon/463/,normal,"own-tempo, oblivious, cloud-nine",110,85,95,80,95,50,False,generation-iv,cloud-nine,normal,1400,17
rhyperior,https://pokeapi.co/api/v2/pokemon/464/,"ground, rock","lightning-rod, solid-rock, reckless",115,140,130,55,55,40,False,generation-iv,reckless,ground,2828,24
tangrowth,https://pokeapi.co/api/v2/pokemon/465/,grass,"chlorophyll, leaf-guard, regenerator",100,100,125,110,50,50,False,generation-iv,regenerator,grass,1286,20
electivire,https://pokeapi.co/api/v2/pokemon/466/,electric,"motor-drive, vital-spirit",75,123,67,95,85,95,False,generation-iv,vital-spirit,electric,1386,18
magmortar,https://pokeapi.co/api/v2/pokemon/467/,fire,"flame-body, vital-spirit",75,95,67,125,95,83,False,generation-iv,vital-spirit,fire,680,16
togekiss,https://pokeapi.co/api/v2/pokemon/468/,"fairy, flying","hustle, serene-grace, super-luck",85,50,95,120,115,80,False,generation-iv,super-luck,fairy,380,15
yanmega,https://pokeapi.co/api/v2/pokemon/469/,"bug, flying","speed-boost, tinted-lens, frisk",86,76,86,116,56,95,False,generation-iv,frisk,bug,515,19
leafeon,https://pokeapi.co/api/v2/pokemon/470/,grass,"leaf-guard, chlorophyll",65,110,130,60,65,95,False,generation-iv,chlorophyll,grass,255,10
glaceon,https://pokeapi.co/api/v2/pokemon/471/,ice,"snow-cloak, ice-body",65,60,110,130,95,65,False,generation-iv,ice-body,ice,259,8
gliscor,https://pokeapi.co/api/v2/pokemon/472/,"ground, flying","hyper-cutter, sand-veil, poison-heal",75,95,125,45,75,95,False,generation-iv,poison-heal,ground,425,20
mamoswine,https://pokeapi.co/api/v2/pokemon/473/,"ice, ground","oblivious, snow-cloak, thick-fat",110,130,80,70,60,80,False,generation-iv,thick-fat,ice,2910,25
porygon-z,https://pokeapi.co/api/v2/pokemon/474/,normal,"adaptability, download, analytic",85,80,70,135,75,90,False,generation-iv,analytic,normal,340,9
gallade,https://pokeapi.co/api/v2/pokemon/475/,"psychic, fighting","steadfast, sharpness, justified",68,125,65,65,115,80,False,generation-iv,justified,psychic,520,16
probopass,https://pokeapi.co/api/v2/pokemon/476/,"rock, steel","sturdy, magnet-pull, sand-force",60,55,145,75,150,40,False,generation-iv,sand-force,rock,3400,14
dusknoir,https://pokeapi.co/api/v2/pokemon/477/,ghost,"pressure, frisk",45,100,135,65,135,45,False,generation-iv,frisk,ghost,1066,22
froslass,https://pokeapi.co/api/v2/pokemon/478/,"ice, ghost","snow-cloak, cursed-body",70,80,70,80,70,110,False,generation-iv,cursed-body,ice,266,13
rotom,https://pokeapi.co/api/v2/pokemon/479/,"electric, ghost",levitate,50,50,77,95,77,91,False,generation-iv,,electric,3,3
uxie,https://pokeapi.co/api/v2/pokemon/480/,psychic,levitate,75,75,130,75,130,95,True,generation-iv,,psychic,3,3
mesprit,https://pokeapi.co/api/v2/pokemon/481/,psychic,levitate,80,105,105,105,105,80,True,generation-iv,,psychic,3,3
azelf,https://pokeapi.co/api/v2/pokemon/482/,psychic,levitate,75,125,70,125,70,115,True,generation-iv,,psychic,3,3
dialga,https://pokeapi.co/api/v2/pokemon/483/,"steel, dragon","pressure, telepathy",100,120,120,150,100,90,True,generation-iv,telepathy,steel,6830,54
palkia,https://pokeapi.co/api/v2/pokemon/484/,"water, dragon","pressure, telepathy",90,120,100,150,120,100,True,generation-iv,telepathy,water,3360,42
heatran,https://pokeapi.co/api/v2/pokemon/485/,"fire, steel","flash-fire, flame-body",91,90,106,130,106,77,True,generation-iv,flame-body,fire,4300,17
regigigas,https://pokeapi.co/api/v2/pokemon/486/,normal,slow-start,110,160,110,80,110,100,True,generation-iv,,normal,4200,37
giratina-altered,https://pokeapi.co/api/v2/pokemon/487/,"ghost, dragon","pressure, telepathy",150,100,120,100,120,90,True,generation-iv,telepathy,ghost,7500,45
cresselia,https://pokeapi.co/api/v2/pokemon/488/,psychic,levitate,120,70,110,75,120,85,True,generation-iv,,psychic,856,15
phione,https://pokeapi.co/api/v2/pokemon/489/,water,hydration,80,80,80,80,80,80,False,generation-iv,,water,31,4
manaphy,https://pokeapi.co/api/v2/pokemon/490/,water,hydration,100,100,100,100,100,100,False,generation-iv,,water,14,3
darkrai,https://pokeapi.co/api/v2/pokemon/491/,dark,bad-dreams,70,90,90,135,90,125,False,generation-iv,,dark,505,15
shaymin-land,https://pokeapi.co/api/v2/pokemon/492/,grass,natural-cure,100,100,100,100,100,100,False,generation-iv,,grass,21,2
arceus,https://pokeapi.co/api/v2/pokemon/493/,normal,multitype,120,120,120,120,120,120,False,generation-iv,,normal,3200,32
victini,https://pokeapi.co/api/v2/pokemon/494/,"psychic, fire",victory-star,100,100,100,100,100,100,False,generation-v,,psychic,40,4
snivy,https://pokeapi.co/api/v2/pokemon/495/,grass,"overgrow, contrary",45,45,55,45,55,63,False,generation-v,contrary,grass,81,6
servine,https://pokeapi.co/api/v2/pokemon/496/,grass,"overgrow, contrary",60,60,75,60,75,83,False,generation-v,contrary,grass,160,8
serperior,https://pokeapi.co/api/v2/pokemon/497/,grass,"overgrow, contrary",75,75,95,75,95,113,False,generation-v,contrary,grass,630,33
tepig,https://pokeapi.co/api/v2/pokemon/498/,fire,"blaze, thick-fat",65,63,45,45,45,45,False,generation-v,thick-fat,fire,99,5
